card,target,mass,parameter,alpha1_reference_signal_yield,alpha1_reference_xsec_pb,signal_rate_scale,sum_card_signal_rate,alpha_internal_unit
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-12_Run2.txt,Run2,12.0,alpha,98500963.3507729,,2.538046243362333e-07,24.999999999999996,2.538046243362333e-07
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-12_Run3.txt,Run3,12.0,alpha,26483054.96460724,,9.439998532424134e-07,25.0,9.439998532424134e-07
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-12_Run2Run3.txt,Run2Run3,12.0,alpha,124984018.31538014,,2.0002557396511213e-07,25.0,2.0002557396511213e-07
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-15_Run2.txt,Run2,15.0,alpha,58657083.33595796,,4.262059853336503e-07,25.0,4.262059853336503e-07
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-15_Run3.txt,Run3,15.0,alpha,16401082.239715576,,1.524289655682718e-06,24.999999999999996,1.524289655682718e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-15_Run2Run3.txt,Run2Run3,15.0,alpha,75058165.57567354,,3.3307501999625924e-07,24.999999999999996,3.3307501999625924e-07
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-20_Run2.txt,Run2,20.0,alpha,24666171.13403269,,1.0135338745585333e-06,25.0,1.0135338745585333e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-20_Run3.txt,Run3,20.0,alpha,6560660.873267651,,3.8105917197863508e-06,25.0,3.8105917197863508e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-20_Run2Run3.txt,Run2Run3,20.0,alpha,31226832.00730034,,8.005935406497654e-07,25.000000000000004,8.005935406497654e-07
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-25_Run2.txt,Run2,25.0,alpha,10216237.101885308,,2.4470849443565177e-06,24.999999999999993,2.4470849443565177e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-25_Run3.txt,Run3,25.0,alpha,2660456.386422634,,9.396883981103743e-06,24.999999999999996,9.396883981103743e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-25_Run2Run3.txt,Run2Run3,25.0,alpha,12876693.488307942,,1.941492202380995e-06,24.999999999999996,1.941492202380995e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-30_Run2.txt,Run2,30.0,alpha,4440584.362773089,,5.629889662627154e-06,25.0,5.629889662627154e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-30_Run3.txt,Run3,30.0,alpha,1104714.8884339333,,2.263027344135872e-05,25.0,2.263027344135872e-05
