card,target,mass,parameter,alpha1_reference_signal_yield,alpha1_reference_xsec_pb,signal_rate_scale,sum_card_signal_rate,alpha_internal_unit
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-30_Run2Run3.txt,Run2Run3,30.0,alpha,5545299.251207022,,4.508322971850141e-06,25.0,4.508322971850141e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-35_Run2.txt,Run2,35.0,alpha,2130095.7024819367,,1.1736561869436474e-05,24.999999999999996,1.1736561869436474e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-35_Run3.txt,Run3,35.0,alpha,520068.0386965275,,4.807063333993519e-05,25.0,4.807063333993519e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-35_Run2Run3.txt,Run2Run3,35.0,alpha,2650163.741178464,,9.433379383902936e-06,24.999999999999996,9.433379383902936e-06
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-40_Run2.txt,Run2,40.0,alpha,1105698.5885041994,,2.2610140105017464e-05,25.0,2.2610140105017464e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-40_Run3.txt,Run3,40.0,alpha,254753.7671598643,,9.813397571589934e-05,24.999999999999996,9.813397571589934e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-40_Run2Run3.txt,Run2Run3,40.0,alpha,1360452.3556640637,,1.8376240737807393e-05,24.999999999999996,1.8376240737807393e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-45_Run2.txt,Run2,45.0,alpha,610778.3467677042,,4.0931379005661096e-05,25.000000000000004,4.0931379005661096e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-45_Run3.txt,Run3,45.0,alpha,133240.72042550147,,0.00018763032742665322,25.0,0.00018763032742665322
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-45_Run2Run3.txt,Run2Run3,45.0,alpha,744019.0671932057,,3.360128940554159e-05,25.0,3.360128940554159e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-50_Run2.txt,Run2,50.0,alpha,356228.8284467692,,7.017960929497237e-05,25.0,7.017960929497237e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-50_Run3.txt,Run3,50.0,alpha,75171.51277248561,,0.00033257279357494236,25.000000000000004,0.00033257279357494236
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-50_Run2Run3.txt,Run2Run3,50.0,alpha,431400.3412192548,,5.795081183603887e-05,25.0,5.795081183603887e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-55_Run2.txt,Run2,55.0,alpha,214457.34442700422,,0.00011657329837220548,25.0,0.00011657329837220548
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-55_Run3.txt,Run3,55.0,alpha,41707.15380516648,,0.0005994175511660812,24.999999999999996,0.0005994175511660812
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-55_Run2Run3.txt,Run2Run3,55.0,alpha,256164.4982321707,,9.759353920050873e-05,25.000000000000004,9.759353920050873e-05
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-60_Run2.txt,Run2,60.0,alpha,140158.13351175515,,0.00017836995523276737,25.0,0.00017836995523276737
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-60_Run3.txt,Run3,60.0,alpha,24661.922737963498,,0.0010137084713802984,25.0,0.0010137084713802984
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-60_Run2Run3.txt,Run2Run3,60.0,alpha,164820.05624971865,,0.0001516805695183269,24.999999999999996,0.0001516805695183269
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-65_Run2.txt,Run2,65.0,alpha,84481.70797836574,,0.0002959220474851438,25.0,0.0002959220474851438
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-65_Run3.txt,Run3,65.0,alpha,14691.55894260481,,0.0017016574005295796,25.0,0.0017016574005295796
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-65_Run2Run3.txt,Run2Run3,65.0,alpha,99173.26692097055,,0.00025208406233024537,25.0,0.00025208406233024537
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2/datacard_M-70_Run2.txt,Run2,70.0,alpha,50910.98798969525,,0.0004910531299266905,24.999999999999996,0.0004910531299266905
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run3/datacard_M-70_Run3.txt,Run3,70.0,alpha,9780.469497596845,,0.002556114510263821,25.0,0.002556114510263821
/data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/datacards_NIsoMuon/alpha/blind/combined/Run2Run3/datacard_M-70_Run2Run3.txt,Run2Run3,70.0,alpha,60691.45748729209,,0.0004119195853095905,24.999999999999996,0.0004119195853095905
