diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2/fitDiagnostics.FitDiag_Run2_alpha_M30.root, at 2026-09-08 20:04:10.120232 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2_alpha_M30.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                  +0.02 +2.72 80.71       +1.00   +6513.607
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.69 (+0.00sig, 0.00)!    !+0.01 +/- 0.96 (+0.00sig, 0.00)!       +0.69     +53.463
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.94 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.30     +23.588
CMS_NPS26009_NFModel_DY_BJetOS_13TeV         0.000000 +/- 0.000000    !+0.00 +/- 0.85 (+0.00sig, 0.00)!    !-0.00 +/- 0.87 (-0.00sig, 0.00)!       -0.24     -17.065
CMS_NPS26009_bckgShape_QCD_BJetOS_2018       4.055285 +/- 0.000000    !+4.06 +/- 10.34 (+0.00sig, 0.23)!    !+4.04 +/- 10.50 (-0.00sig, 0.23)!       -0.17    -146.043
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.16     -13.169
pdf_alphas                                   0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.13     -10.722
CMS_NPS26009_NFStat_DY_BJetOS_2018           0.121918 +/- 0.000000    !+0.12 +/- 0.01 (+0.00sig, 0.23)!    !+0.12 +/- 0.01 (-0.00sig, 0.24)!       -0.13      -0.112
CMS_NPS26009_btag_fixedWP_comb_bc_correlated_13TeV     0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.11      -8.609
CMS_NPS26009_pdf_NNPDF31                     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.10      -7.897
CMS_NPS26009_lumi_2018                       0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.08      -6.144
CMS_NPS26009_bckgShape_QCD_BJetOS_2017       1.362361 +/- 0.000000    !+1.36 +/- 9.37 (+0.00sig, 0.23)!    !+1.37 +/- 9.40 (+0.00sig, 0.23)!       -0.07     -54.094
CMS_NPS26009_bckgShape_QCD_BJetOS_2016preVFP     0.201783 +/- 0.000000    !+0.20 +/- 3.04 (+0.00sig, 0.24)!    !+0.20 +/- 3.05 (-0.00sig, 0.24)!       -0.07     -16.140
