diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M40.root, at 2026-09-07 12:15:53.792871 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2Run3_alpha_M40.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                  +0.02 +1.57 19.24       +1.00    +370.081
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !-0.00 +/- 0.72 (-0.00sig, 0.00)!    !+0.01 +/- 0.90 (+0.00sig, 0.00)!       +0.61     +10.652
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !-0.00 +/- 0.95 (-0.00sig, 0.00)!    !+0.00 +/- 0.98 (+0.00sig, 0.00)!       +0.24      +4.580
CMS_NPS26009_NFModel_DY_BJetOS_13TeV         0.000000 +/- 0.000000    !-0.00 +/- 0.92 (-0.00sig, 0.00)!    !-0.01 +/- 0.94 (-0.00sig, 0.00)!       -0.19      -3.404
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !+0.00 +/- 0.97 (+0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.16      -2.985
pdf_alphas                                   0.000000 +/- 0.000000    !+0.00 +/- 0.97 (+0.00sig, 0.00)!    !+0.00 +/- 0.98 (+0.00sig, 0.00)!       -0.14      -2.597
CMS_NPS26009_btag_fixedWP_bc_correlated_13TeV     0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.12      -2.292
CMS_NPS26009_pdf_NNPDF31                     0.000000 +/- 0.000000    !-0.00 +/- 0.96 (-0.00sig, 0.00)!    !-0.00 +/- 0.96 (-0.00sig, 0.00)!       -0.11      -2.104
CMS_NPS26009_bckgShape_QCD_BJetOS_2018       0.277749 +/- 0.000000    !+0.28 +/- 4.01 (-0.00sig, 0.24)!    !+0.27 +/- 4.03 (-0.00sig, 0.24)!       -0.10      -7.501
CMS_NPS26009_bckgShape_QCD_BJetOS_2017       0.038984 +/- 0.000000    !+0.04 +/- 3.54 (-0.00sig, 0.24)!    !+0.03 +/- 3.56 (-0.00sig, 0.24)!       -0.09      -6.131
CMS_NPS26009_NFStat_DY_BJetOS_2018           0.121918 +/- 0.000000    !+0.12 +/- 0.01 (-0.00sig, 0.24)!    !+0.12 +/- 0.01 (-0.00sig, 0.24)!       -0.07      -0.016
