era,a_slope,a_error,b_intercept,b_error,n_points,mass_min,mass_max,chi2,ndf,chi2_ndf
2016preVFP,0.00014249814775429962,3.96185916772562e-06,0.012161915670954437,0.00011159691942662139,13,12.0,70.0,25.044408368081307,11,2.2767643970983005
2016postVFP,0.00016970220016153102,4.5618629517630635e-06,0.01213766348170698,0.00012470396403393402,13,12.0,70.0,15.73930788816886,11,1.4308461716517145
2017,0.00014103728386969888,3.833487395917642e-06,0.012145080053681812,0.00010886711033652678,13,12.0,70.0,10.211266252436143,11,0.9282969320396494
2018,0.00014453358766757947,3.7859761029471562e-06,0.012094596854614103,0.00010786602167478028,13,12.0,70.0,10.504530292336423,11,0.9549572993033112
2022,0.00011237652099134304,6.048164199163015e-06,0.012349174771905704,0.0001687876098593303,13,12.0,70.0,24.195110172208878,11,2.199555470200807
2022EE,0.00012023032526785869,7.054165109978367e-06,0.012476973128084413,0.00017922260252811826,12,12.0,65.0,9.480336258961668,10,0.9480336258961668
2023,0.00011947866926932331,5.764263978875215e-06,0.01265887946871135,0.00016041828555942076,13,12.0,70.0,27.158265618159415,11,2.4689332380144924
2023BPix,0.00011506220941988431,5.581565040148303e-06,0.012478614624020907,0.00015960322846721644,13,12.0,70.0,27.151431651341984,11,2.4683119683038166
